[0.000000] (-) TimerEvent: {}
[0.000193] (-) JobUnselected: {'identifier': 'my_aruco_to_goal_pose_pkg'}
[0.000281] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.000295] (-) JobUnselected: {'identifier': 'my_docking'}
[0.000306] (-) JobUnselected: {'identifier': 'my_slam_package'}
[0.000317] (-) JobUnselected: {'identifier': 'my_tf2_package'}
[0.000328] (-) JobUnselected: {'identifier': 'my_tf_package'}
[0.000338] (-) JobUnselected: {'identifier': 'odrive_demo_bringup'}
[0.000349] (-) JobUnselected: {'identifier': 'odrive_demo_description'}
[0.000360] (-) JobUnselected: {'identifier': 'odrive_hardware_interface'}
[0.000370] (-) JobUnselected: {'identifier': 'odrive_ros2_control'}
[0.000381] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000392] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000402] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000412] (-) JobUnselected: {'identifier': 'ros2_aruco'}
[0.000423] (-) JobUnselected: {'identifier': 'ros2_aruco_interfaces'}
[0.000440] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000450] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000461] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.000471] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.000482] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000492] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.000503] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000513] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000524] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000534] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.000544] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.000555] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.000565] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000576] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000586] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.000597] (-) JobUnselected: {'identifier': 'tb3_autonomy'}
[0.000607] (-) JobUnselected: {'identifier': 'tb3_sim'}
[0.000618] (-) JobUnselected: {'identifier': 'teleop_twist_joy'}
[0.000634] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.000762] (-) EventReactorShutdown: {}
